url,word_count,sentence_count,flesch_reading_ease,is_thin,quality_label
https://www.cm-alliance.com/cybersecurity-blog,332,7,-10.25,1,Low
https://www.varonis.com/blog/cybersecurity-tips,1778,94,42.51,0,Medium
https://www.cisecurity.org/insights/blog/11-cyber-defense-tips-to-stay-secure-at-work-and-home,1085,72,56.26,0,Medium
https://www.cisa.gov/topics/cybersecurity-best-practices,844,27,-5.02,0,Low
https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,0,0,0.0,1,Low
https://nordlayer.com/learn/network-security/basics/,2177,181,26.86,0,Low
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,5060,247,15.57,0,Low
https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,954,56,28.5,0,Low
https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,2045,90,29.71,0,Low
https://digitdefence.com/blog/fundamentals-of-network-security-in-computer-networks,21567,1404,16.56,0,Low
https://guardiandigital.com/resources/blog/guide-on-phishing,2047,145,54.88,0,High
https://cofense.com/blog,196,5,6.48,1,Low
https://www.connectwise.com/blog/phishing-prevention-tips,0,0,0.0,1,Low
https://www.phriendlyphishing.com/blog,20,2,48.64,1,Low
https://inspiredelearning.com/blog/phishing-protection-checklist/,1292,59,23.79,0,Low
https://en.wikipedia.org/wiki/SD-WAN,3496,248,38.6,0,Medium
https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,573,34,32.49,0,Medium
https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,3336,148,12.14,0,Low
https://www.hpe.com/us/en/what-is/sd-wan.html,0,0,0.0,1,Low
https://remotedesktop.google.com/,209,9,49.69,1,Low
https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,0,0,0.0,1,Low
https://support.apple.com/guide/remote-desktop/welcome/mac,50,4,50.33,1,Low
https://en.wikipedia.org/wiki/Remote_desktop_software,2089,134,31.25,0,Medium
https://www.cloudflare.com/learning/access-management/what-is-ztna/,0,0,0.0,1,Low
https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,2419,83,22.71,0,Low
https://www.microsoft.com/en-us/security/business/security-101/what-is-zero-trust-network-access-ztna,2409,130,19.7,0,Low
https://www.zscaler.com/resources/security-terms-glossary/what-is-zero-trust-network-access,1772,109,35.17,0,Medium
https://www.efax.com/,1469,84,39.35,0,Medium
https://sign.dropbox.com/products/dropbox-fax,795,39,47.27,0,Medium
https://www.fax.plus/,355,27,42.64,1,Low
https://comfax.com/reviews/free-fax/,5288,243,59.43,0,High
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,2929,156,45.76,0,Medium
https://copyblogger.com/content-marketing/,6462,296,51.82,0,High
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,5859,386,55.61,0,High
https://www.akkio.com/beginners-guide-to-machine-learning,21617,919,42.79,0,Medium
https://medium.com/@amitvsolutions/machine-learning-101-the-complete-beginners-guide-to-machine-learning-686a30cbcf6b,3173,148,39.79,0,Medium
https://realpython.com/tutorials/data-science/,583,19,29.27,0,Low
https://www.geeksforgeeks.org/data-science/data-science-with-python-tutorial/,501,11,-2.85,0,Low
https://jakevdp.github.io/PythonDataScienceHandbook/,329,10,5.78,1,Low
https://www.w3schools.com/datascience/,461,17,48.47,1,Low
https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d,0,0,0.0,1,Low
